"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"ARO-PWY",0.0110716965275344,-0.0135186299655578,-0.0164457919712859,0.0320303583345212,0.0400945996420686,0.0528816066556193,0.34566258709637,-0.337168349010614,-0.310992668554604,0.731172166396819,0.737523632857639,0.757211147367459,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ASPASN-PWY",0.0498914181518875,-0.0570357717626786,-0.0646158340255447,0.0501384507691923,0.0584101101856196,0.0763967272918832,0.995072990618676,-0.976470881178386,-0.845793220679099,0.324906561019236,0.333938659637623,0.402046414309789,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"AST-PWY",0.148263932377072,-0.184670045298449,-0.170800926798814,0.270333171532888,0.334522912060296,0.391113593622623,0.548448906718923,-0.552040050593494,-0.436704143205046,0.590514265789567,0.588105528141986,0.667822025876606,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"BRANCHED-CHAIN-AA-SYN-PWY",-0.00548108524734848,0.00408346487892065,0.00564369809201344,0.0319966528451387,0.0401628992670241,0.0501069387003528,-0.171301831909622,0.101672562326032,0.112633065168152,0.864737777729893,0.919458483254904,0.910811569464243,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CALVIN-PWY",0.0058375079256386,-0.00388336927653852,-0.0160733879976377,0.0327998098806431,0.0408277878089777,0.053017969676153,0.177973834204558,-0.0951158386221601,-0.303168682162255,0.859524978761318,0.924635961449296,0.763128216230519,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CARNMET-PWY",-0.0844112806925098,0.558794848848243,-0.104670899906421,0.277900040525326,0.336552423206953,0.419494493998992,-0.303746917535325,1.66035009798348,-0.249516743136734,0.764803835850687,0.114163681159207,0.80578630276676,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CATECHOL-ORTHO-CLEAVAGE-PWY",-0.0233904899919679,0.050523514013155,-0.120831456935622,0.252872955255785,0.334277917158628,0.377599941688166,-0.0924989782648289,0.15114224248675,-0.319998611216441,0.92744989720612,0.881752705699744,0.753110142091432,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CHLOROPHYLL-SYN",-0.288320151258604,0.328555207061108,0.344571756705431,0.148970640453747,0.186928635108566,0.16727332658481,-1.93541593417612,1.75765048982617,2.05993246945278,0.0591003300687631,0.0854602853111068,0.0450887835393513,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CITRULBIO-PWY",-0.0267264757313418,0.0685679176323816,-0.0340795292751304,0.159560836601821,0.172063752177658,0.185532158841052,-0.167500223115757,0.398502977905447,-0.183685294711236,0.867710690897399,0.692103230767608,0.855067654850215,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"COA-PWY",0.0029125344533046,-0.00854144246492513,0.000453712192511554,0.0318819651582155,0.0409793260982834,0.0528047365345388,0.0913536677821153,-0.208432965550473,0.00859226316212728,0.927608241676284,0.835811100741724,0.993181606501561,0.999947418018215,0.997305600121964,0.998782852086678,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"COA-PWY-1",0.00490615962489687,-0.00967474632813986,-0.00381014611776118,0.0321068455807569,0.0409867162222609,0.0530401004788118,0.152807276334781,-0.236045900229627,-0.0718351979608944,0.879218584151613,0.814444918908894,0.943044488495046,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"COBALSYN-PWY",-0.056387264399639,0.0704136245102934,0.0537573623449248,0.062034252150941,0.0707694614662841,0.0802710138081019,-0.908969842377371,0.994971885491028,0.669698310693305,0.368104044931402,0.324955203878089,0.506398024530891,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CODH-PWY",0.131779839569953,-0.163447103621004,-0.142480710348596,0.0990819377342938,0.113672434293011,0.12346285077839,1.33000870373917,-1.43787809804169,-1.15403710063639,0.190072590263514,0.157237273978155,0.254445632882006,0.999947418018215,0.997305600121964,0.996691057705546,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
