"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"P101-PWY",0.286957619504515,-0.413295980124083,-0.214190143851306
"P105-PWY",-0.418910613459132,0.610585600259322,0.265372511398418
"P108-PWY",-0.0893664056293744,0.0459355619412013,0.194532834035762
"P125-PWY",0.104025029968857,-0.0970979011992481,-0.16529905988059
"P163-PWY",-0.00644810805794473,0.0763364135162335,-0.108805836086168
"P164-PWY",0.000568392314626638,0.00763987229748728,-0.0186619889967053
"P185-PWY",0.0534124657410616,-0.207698234005477,0.169427458877154
"P221-PWY",-0.0201589445266266,0.0511049902565743,-0.0258153366038827
"P23-PWY",0.0659807765673917,-0.168409207073565,0.0670923382071639
"P241-PWY",-0.374136011064809,0.418418861706193,0.41945215107138
"P261-PWY",0.00478978569323382,0.0776872302314237,-0.145416962861335
"P341-PWY",-0.0842265831740012,0.00748853913365705,0.146723817213585
"P381-PWY",-0.22318989974101,0.345063624085539,0.103563504055654
"P4-PWY",0.0208591016957392,-0.0388746756097152,-0.00521614612715765
"P42-PWY",0.000355125070162862,-0.00295780674119819,-0.00078762962267037
"P441-PWY",-0.0339937715316517,0.0172227686158438,0.0716124312651943
"P461-PWY",0.0556287688307895,-0.065690828063224,-0.0681220039912966
"P562-PWY",0.0408815534188324,-0.0259228340999746,-0.0875816469824607
"PANTO-PWY",0.0176388746849192,-0.0263511024562315,-0.0157050072809339
"PANTOSYN-PWY",0.0116417294983622,-0.0188740714955727,-0.00948892545817221
"PENTOSE-P-PWY",-0.045250575911276,0.0542539750965365,0.0459106841466686
"PEPTIDOGLYCANSYN-PWY",0.00964453442714907,-0.00824483984548633,-0.0206450169839701
"PHOSLIPSYN-PWY",0.0087448515634983,-0.0143283670709078,-0.00800400647273123
"POLYAMINSYN3-PWY",-0.176451386196377,0.181687866415393,0.240633092251647
"POLYAMSYN-PWY",-0.0406729525744035,0.0201479322545962,0.087314032295647
"POLYISOPRENSYN-PWY",0.00514866731743944,-0.00901847515537177,-0.00561926658192127
"PPGPPMET-PWY",-0.00348151774832481,-0.00223132519320376,0.00978155649345739
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY",-0.182093008070422,0.226137655822719,0.185679651454007
"PWY-1042",0.00519316260056347,-0.00267849981153995,-0.0160579933202172
"PWY-1269",-0.0143590361853098,0.00452361752707661,0.0321171747862693
"PWY-1622",-0.041929248926748,0.0493332417503408,0.0437353119441167
"PWY-1861",0.0329464639450542,-0.00648551483625466,-0.0948660792725591
"PWY-241",0.0743443556591027,-0.195943984766453,0.0862228909897401
"PWY-2941",0.224382019337052,-0.183656658616722,-0.393234359017293
"PWY-2942",0.00306054512013342,-0.00262608384301015,-0.00961202823526257
"PWY-3001",-0.00216180868077906,0.000406456129113255,0.00145355282533179
"PWY-3481",0.140033605895061,-0.343559799019903,0.0741533875894537
"PWY-3661",0.185192587420537,-0.152644909763197,-0.35082809604458
"PWY-3841",0.00739729829573592,-0.00802660159940644,-0.0141174934814002
"PWY-4702",-0.245437296342474,0.360479309596313,0.161366346905074
"PWY-4984",-0.0788757317538621,0.0557845837417882,0.146400484866052
"PWY-5005",-0.160855815595277,0.204906178099222,0.155141900799557
"PWY-5022",-0.00414112392534512,-0.00858344743721005,0.0221237990570908
"PWY-5028",0.0363820810905084,-0.283281920945737,0.314572229149647
"PWY-5030",0.00434861310484432,0.0444054710239982,-0.0899830130973261
"PWY-5097",0.00456450501529572,-0.00643530181648459,-0.0080279262072977
"PWY-5100",0.0522145811856134,-0.0493805000554029,-0.0841703373406554
"PWY-5101",-0.0143487072361086,0.00950420922860651,0.0239920808643526
"PWY-5103",-0.00510426909340554,0.00377357206211184,0.00499327444787883
"PWY-5104",-0.0507885861046578,0.0412426244650671,0.0667951890521964
"PWY-5121",0.00685169641446277,-0.00582366772848482,-0.016026355260247
"PWY-5130",0.00771561826252801,-0.0119392529478118,-0.00873428993853984
"PWY-5136",-0.150374778647897,0.105699611452095,0.284254395949787
"PWY-5138",-0.151267280628298,0.161262612039502,0.196697807310226
"PWY-5154",-0.012982901815598,0.0118172459642969,0.0160506170685433
"PWY-5180",-0.00280094088988286,0.0704537727157615,-0.110415994237591
"PWY-5188",-0.0103756193569971,0.0140243594651197,0.00447925510024273
"PWY-5189",-0.0129650178630952,0.0175482585385895,0.00668295203077776
"PWY-5196",0.00580164178416591,0.0627466493477976,-0.124237328203924
"PWY-5209",-0.05127625667831,0.117225583553117,-0.0379645322462343
"PWY-5265",0.561384088278307,-0.573119274652017,-0.803246776770894
"PWY-5345",0.000145767738470889,-0.000442561726107135,-0.00423374594388857
"PWY-5347",0.0266352653082103,-0.0569448670601372,0.00645841391658477
"PWY-5367",-0.213337888323257,0.263865653103811,0.213912577468536
"PWY-5384",0.00152594593885462,-0.00307478545857203,-0.00418317811730692
"PWY-5392",-0.0819365737469577,0.0334732593629379,0.192030215585541
"PWY-5415",-0.0944762543908508,0.154177977180312,0.0342878211042305
"PWY-5417",0.0073602482013167,0.129535867858785,-0.341724888625585
"PWY-5419",-0.0384531297611762,0.0828009307335801,-0.0212952975982088
"PWY-5420",-0.0902136601871192,0.150452909595987,0.0272868611798292
"PWY-5430",0.180162522747309,-0.254289768719548,-0.336599498365183
"PWY-5431",0.0073602482013167,0.129535867858785,-0.341724888625585
"PWY-5484",-0.0011789913824368,0.0120142073627058,-0.0204189209054259
"PWY-5494",0.0104807318047799,0.0479696444408238,-0.126592629368513
"PWY-5497",0.0154394755883017,0.0151613654175634,-0.0764271078424603
"PWY-5505",-0.00320719550220349,0.0221168873609055,-0.0306244007857189
"PWY-5507",-0.0248698922544963,-0.0057228306455591,0.0661758469279875
"PWY-5519",-0.308162246144094,0.435206290020183,0.232030162483746
"PWY-5531",-0.128504642880883,0.0424585546110111,0.320043822530066
"PWY-561",-0.596747383535489,0.863197229400673,0.492364469454187
"PWY-5647",0.310584777528848,-0.43432518990378,-0.24329132171902
"PWY-5651",-0.156969439625097,0.0992468083526918,0.319061983677308
"PWY-5652",-0.31180581283947,0.408111602294235,0.298489152264399
"PWY-5654",0.354313883685024,-0.480436379549708,-0.298724542912094
"PWY-5655",-0.407959183847426,0.520538023549024,0.419116814347896
"PWY-5659",-0.00266884149391306,0.00491746329718858,-0.00432404583256506
"PWY-5667",0.0126377621076706,-0.0173908941528201,-0.0149494385061498
"PWY-5677",0.032096885652274,0.0273553385930797,-0.147255632573588
"PWY-5686",0.00342059349835734,-0.00183963987660421,-0.0119926478389833
"PWY-5692",-0.212304149244098,0.211037410279854,0.302739170305543
