pathway,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_147,Sample_148,Sample_149,Sample_150,Sample_151,Sample_152,Sample_153,Sample_154,Sample_155,Sample_158,Sample_159,Sample_160,Sample_161,Sample_162,Sample_163,Sample_164,Sample_165,Sample_166,Sample_167,Sample_168,Sample_169,Sample_170,Sample_171,Sample_172,Sample_173,Sample_174,Sample_175,Sample_176,Sample_177,Sample_178,Sample_179,Sample_180,Sample_181,Sample_182,Sample_183,Sample_184,Sample_185,Sample_186
MET-SAM-PWY,6637.526642499628,8058.963478,5257.531431134519,5515.606183233179,8402.993716921768,6161.571904693464,6508.438951382326,5817.9568058084515,6441.803463256957,6372.069153935861,6645.067823722246,5433.579381,5804.677570328336,6420.656992641281,10658.956544187977,6080.238572659533,5857.341643528712,7070.205720107662,6207.439907794084,9371.740061159751,5941.524511896734,5438.185811181745,5366.308600760396,4663.186503,9151.287796650817,6498.2650019987705,6480.9201190584035,4934.011897359565,5947.477176341199,7187.923475263242,4166.190044162711,4131.754526120611,4939.715170133691,5597.058745,7732.568443552187,7191.487572082853,7394.8000090498945,5610.072407239417,4313.3074134545495,4178.873201195924,4816.264376931037,5727.720241204035,4662.355735061766,5634.690745042192,4113.644737725611,5525.834907198385,5679.176658134044,7681.868025415167,5781.254323642776
METH-ACETATE-PWY,1205.7698242863696,875.5001610920372,724.2579211187956,741.8988827779336,586.2770492195508,1383.9226781915602,931.5735180315578,820.2657960306185,707.9971470552828,775.6068678424338,993.3087719975257,810.7679261805431,777.0846447177362,609.1757326,455.96814867945614,851.2615494,610.0492167389804,336.88944973799806,511.79437719491875,849.8178392006789,594.5192358993501,797.1695423,1131.6456297068578,942.7130785792327,1120.3096500575432,1245.2961267623728,1095.4481820124768,645.0921764723684,915.3308751993618,1060.594120455283,536.1809982940425,665.7652172513752,840.8619008720666,869.7315091631535,679.6609052,596.6128299,989.8218701474239,759.6979948761525,1143.0961993337842,407.3190216584593,603.2813553967628,1025.0584557297939,608.4624631640951,862.5554236599187,626.5147365559665,833.0551731302984,876.5760459281782,685.9495257447223,1519.0593144840198
METHANOGENESIS-PWY,1981.7585745190236,680.4361445037844,439.3005125,349.29279605175066,394.3758437,581.8015814262767,563.0937432923438,673.7147743817435,1205.8118590451018,758.2697840516072,484.04891814979885,401.2764606565718,467.69794362293584,936.5687992879523,491.5254320666052,608.6439660424644,356.06270548866513,297.6952910250142,280.1933582654271,389.6962671488662,609.9287794149576,576.6079805083202,574.9518193,508.3398754,468.62097885453767,789.9291830186006,735.3440564065456,1186.3813867239073,726.2124381442261,798.2423095537979,400.93107678139717,501.34767543412664,423.1682044000343,549.2371343422378,499.8041651389689,798.1129683047916,416.9499811323258,536.0351171154216,505.0698981315475,499.6718482532954,667.0962796683285,482.70897026141887,599.3112367536221,1367.042586661816,719.0428804316492,644.1581290959346,528.4740865750168,399.5790748,693.2282154155289
METHGLYUT-PWY,10.455802557061856,378.09563530787443,40.423319596689396,5.965528938247558,297.9014760587974,4.980215393,169.73769056449942,71.51265203528753,53.67887690248142,101.34722429816023,55.914421190367634,22.62840404750723,4.482466244,162.3006231570602,520.7855176850791,205.70039646061196,260.89615179225865,278.2317371905612,195.38625855173328,2.9905860373834803,19.626371098731635,34.160874936130305,72.72679752341084,3.2394201339715365,201.22116377503644,115.16591628355893,121.29075326883783,9.449019626091307,154.64827597401958,60.34711419439228,13.534165766509167,31.488828177405317,3.2379882969926883,61.41465812,242.12705532868983,279.4892278,377.2101640366481,66.22726932720913,59.20847293881316,2.4936535396801798,12.731610763870835,154.62197313385434,134.31333991215214,52.81780078182149,15.86591645755978,188.42040795010982,13.514305450970179,481.17866882865997,19.683439225754054
METHYLGALLATE-DEGRADATION-PWY,0,0,0,0,0,0,0,7.413793103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5046819136257876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METSYN-PWY,7085.818441048588,8575.657970982269,5713.343923908075,5998.360413250839,8832.100333,6637.3071244633265,6950.606164817566,6342.158079910067,6687.624981861261,6850.278304609883,7139.246024572288,5859.590482655373,6278.990007916302,6795.0800931183885,11103.722721723723,6528.677486827534,6328.765798656243,7368.1650862900815,6655.731491914941,9767.075009918952,6225.072847640647,5920.703716293764,5932.225054,5120.507066,9826.169737446859,7326.011578809502,7163.5844475876365,5366.667988513145,6427.8939018778165,7764.147460408051,4531.449739086189,4518.285321768308,5440.346601760161,6127.856860110831,8232.956073502035,7620.210592487708,7970.763047738929,6151.950581811882,4843.151403900694,4626.953197604926,5297.082416095912,6317.684188793428,5153.913263204766,6202.934218467326,4527.517610326725,6025.150245224386,6165.524207164991,8080.453607776533,6531.520619155299
NAD-BIOSYNTHESIS-II,63.39827291915535,1807.5373215883487,293.8617179954719,144.4455335688377,1734.6870442758936,174.12333345365306,602.3878651207245,353.08072200408367,111.6188380062564,545.2125828818395,286.20983057684754,691.6323027,99.84273524905939,738.3788671444263,4408.804801976766,1029.7342843509493,1374.9304460328597,3217.062079342169,1298.1379330402433,90.18155724799045,66.88626447216627,129.88097914971019,347.0635162290712,145.13183621238852,1011.3380112263632,288.7654954118522,401.6073418662515,118.70131232708677,761.8198939494475,369.97016446615817,61.822408311836654,75.74927976,81.08438418213944,388.8554212804463,1446.2787106899477,1648.6514400727744,2445.9512205209994,481.7492819739734,78.59026410675614,10.71932286,110.89008578395377,970.3759717674646,579.4151566020729,45.625679910368824,69.37196317103482,1114.340950635612,179.21576860065005,5353.356615344246,48.41225573880372
NADSYN-PWY,32.820452472689794,0,21.050229338287256,46.14651315634261,38.105644525082745,11.01936367647649,0,0,94.65206443,0,42.80953638,15.817997115707874,75.20273817202803,49.16542354836397,109.35358867429193,17.766459401785163,23.979532938619375,18.548506237246027,0,0,16.923304798990404,0,0,18.35682323671535,34.820240274309896,27.474964167735678,0,21.61200701618983,42.50080802401135,6.838854567440432,0,63.182362260400595,16.157659976171818,5.285465038891176,0,0,0,0,6.227505604790856,7.939559983,0,10.628408002895513,23.363393074289487,134.7841361493881,48.62866213,7.409086185955414,89.01833666,0,26.800312549239784
NAGLIPASYN-PWY,12901.209067796024,19192.515506285705,18012.54349824026,14541.54083309767,19516.036293305344,17106.125507630884,13547.523929903835,13723.185189479276,16917.918382858985,17875.06815066332,18061.719609592463,19511.327924824658,17539.880447017644,15408.266848686857,19530.01264567058,16980.84215,16194.11978,12814.664432051448,17706.437215381677,19027.87675,15197.81120194642,19063.691714275494,15809.640564554826,13875.003848872208,19959.158780560534,21263.844241218976,18409.733900022806,13719.672390678383,14933.44966610916,19978.527190091194,14882.34188840196,13635.795700152967,18764.865893892318,21130.317876164172,19880.193677000254,16297.853191716127,15547.098248379523,14486.63458588427,12823.82787,14198.999036014222,15843.14792534227,17039.45727747684,15138.260416693474,11829.059058601668,13684.41316788356,16585.88663922508,16899.393211934457,17245.555905774316,19781.803038724574
NONMEVIPP-PWY,24305.290236159723,27275.66682935499,26032.303127598596,22502.30015130632,26143.214868578285,26253.461892573025,22367.265924460196,20681.40371245027,26583.132585974974,26499.430435186274,26284.16666788654,26906.62307,25683.41707434035,22221.564838574053,26034.403259943218,24312.504624125788,22677.25150860949,17828.097876996086,24203.259724696538,26179.61655,21747.839991510602,28695.77314517446,24577.171102259632,22913.42811359821,30963.28131005441,33171.97532524438,28071.997232339658,21065.712863686622,22733.60541374103,29712.564743595714,21055.729440551426,19919.821420267162,27974.028538437586,30240.802131837925,27401.709607447938,22752.422760748774,22985.53624393423,23966.77925126896,23011.985674870444,20130.673137591457,23321.95745702906,24803.45492561045,23357.84731384058,21657.374397268108,20991.421978248774,25340.77288735659,24797.042736925916,23158.71102765203,30802.925495061423
NONOXIPENT-PWY,31591.096420112677,31760.269446564773,30923.56311599782,26972.27011504696,30027.93751109489,30833.188480835728,27386.9112,24724.93053020092,32693.43137280214,31103.29581781956,31002.29275862147,30909.67795185809,30745.10395203099,26484.864030976638,30160.620057560773,28758.04153859442,26319.466973218226,20775.025514635265,27516.50828400024,30372.491101698968,25921.038081770115,35076.09885464108,29603.78935,27762.548712166295,36534.8441,39846.33325498815,33736.39925500557,26193.401836984962,27147.903747843822,35111.41217693163,25476.520964601696,23513.113999848032,32983.06814848167,34577.20132802499,31401.627493693948,26550.515235559076,27109.14935073386,29171.778312790062,28661.95718121426,23497.801112385598,27399.423149351216,29140.84320605219,27779.525061271448,28496.027310226968,25518.55585,30333.467076248442,29525.03516348956,25658.549777521115,37689.56308297036
OANTIGEN-PWY,17015.51917939343,16923.715350447772,15399.345116346012,14333.98601852344,15790.984486462434,16369.348937236833,14799.739002313154,13637.922070678824,16360.745240530045,16776.08228929014,15785.050777725066,14989.235602654007,15723.846346590395,13911.086098757616,16608.164658468995,14797.972872896415,13384.018220925285,11368.361982955554,14786.066852706466,16227.612120510898,13794.121841147646,17765.496053454215,15259.816184500454,15094.818207319497,19898.40267111443,21510.80866113271,17628.969509889692,13213.77885288313,14480.54219546556,18583.07491365747,12471.360438315154,11909.043146391485,16568.14205583916,18001.88558827685,17237.82142369538,14362.02875834522,14900.585775261345,16120.717636404632,15432.178257465195,11983.89572406029,14410.044279798192,15140.800660336788,15012.53311681128,14576.506053700943,13108.006365341163,15847.036483379152,15170.480474700727,13892.412156320643,18707.97146027576
ORNARGDEG-PWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.008953285683624,0,0,2.619275913,0,0,0,0,0,0,0,0,1.32850881,0,0,0,0,0,0,0,0,0,0,6.9666350787519935
ORNDEG-PWY,0,0,0,0,0,0,1.4159358245656468,5.453622275464057,0,9.812558575445173,1.6546464096984768,0.5795059915413534,0,0,0,0,0,0,0,0,0.5796518823602458,0,0,0,19.22666557988497,46.70818156317536,0,0,2.9671134782116395,0,0,0,0,0,0,0,0,1.514190719801538,0,0,0,0,0,0,0,0,0,0,7.644905646970796
P101-PWY,7.476414209762818,27.726491796560218,15.192835784666098,6.753363761001028,10.639926305281517,10.25421190421786,25.06684534206674,20.815240124521324,30.121297425091218,29.032549274530485,13.003760636531442,2.1450397855369094,34.67310633465573,3.916008697828604,13.029231406857852,0,11.018369713337675,14.043065450144102,11.614927231433562,23.399964567429215,57.70136603263987,2.4965846724734586,35.02680643086006,13.698178072012302,42.27621657306454,45.38267339629583,1.7737704547871618,9.567125991,27.69322819,3.564568117,20.917611894577913,12.332313112218898,21.614607957579302,9.226045700997947,35.11987614981519,0,13.46614841739314,14.580200343226679,19.781453517216057,41.33607857012287,5.877399770508562,9.879784822833791,8.484598895625515,24.786292324706583,13.763047648090891,22.25663854289712,15.614864072458413,17.466855809909905,37.13970579753787
P105-PWY,0,0,3.497522971656495,0,0,0,0,20.926559204899615,10.470529118309509,12.2212284,5.246204599907807,2.6234238319789647,31.28454046472597,0,0,0,0,0,0,13.981354686833473,0,0,20.912979878357575,0,79.82649794456967,17.460033503722464,36.53382790051585,0,13.963693960457794,0,0,0,0,0,3.4983532324494964,0,0,0,3.4965182275910096,0,0,0,0,0,0,10.462887914525195,9.329751753294888,0,0
P108-PWY,226.55092137612297,483.71559288406013,833.8161998285053,791.9753188,1325.8425250047335,616.7437528509552,633.9372416984432,638.5151598546702,710.7630202,814.9432720704759,814.6568201748614,811.5184728733526,946.3816566965365,971.0326580897485,1528.4372060924168,659.8779382544179,533.5401069,441.48875505372655,1081.6228043036176,742.7751221718297,1218.387931721905,560.1128080311415,741.7329810665599,307.58714760888546,601.0161386468403,536.0749744,904.5158322525938,260.22106904622876,392.36535537843025,534.5545374340593,542.8946578420731,423.80054403887004,887.3778015955165,289.2269935,1346.6029157719142,381.89262667254985,616.5320153892612,407.53823353406284,281.63659964094836,329.9272098725568,319.2375731409733,297.2754137139032,230.5125638,236.35291546082794,450.2236806417054,640.6862072979824,317.91104950666016,731.5400573999283,246.1638354580295
P125-PWY,314.6850478,210.60430336279705,143.46361280600885,157.4387923049024,123.13380748613353,291.5454016880369,325.0023536022028,170.10712678836916,155.57000609122164,182.4924688813511,155.61276034246922,213.3139623228448,176.0846411658232,167.79584072785244,131.70899702935768,186.1984053585192,151.42457378453318,86.56645541071151,128.4531349307585,194.9890856374257,150.30717974207514,158.2150126569249,219.74310085330373,175.45163322798837,248.4285145,283.3524222,190.5701120590457,214.63061366847862,257.2015352723225,200.18364934324447,125.43529201574837,120.98825535769073,154.39568825409688,191.5693895115415,141.09526597411707,108.54992176765982,180.7797253,262.9903416628694,288.7630032,89.26004153928464,137.32271962352718,139.55333262104924,155.30281776256223,215.12203875499773,210.5387113011755,307.08727370929995,251.7293653648255,99.12020790743534,277.5910880063265
