"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI","se_(Intercept)","se_RFIClass2MidRFI","se_RFIClass3HighRFI","W_(Intercept)","W_RFIClass2MidRFI","W_RFIClass3HighRFI","p_(Intercept)","p_RFIClass2MidRFI","p_RFIClass3HighRFI","q_(Intercept)","q_RFIClass2MidRFI","q_RFIClass3HighRFI","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","passed_ss_(Intercept)","passed_ss_RFIClass2MidRFI","passed_ss_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"Erysipelotrichaceae",-0.000248111459764262,-0.051899376710488,0.0658801569233853,0.190938126319206,0.224205234248688,0.233884630335349,-0.00129943382470128,-0.231481556995772,0.281678008635817,0.998968821157395,0.817967337831819,0.779453758285331,0.998968821157395,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"F082",0.204495465917557,-0.14456159283209,-0.521840193794645,0.388443400461238,0.454300149542496,0.488195877879037,0.526448552542633,-0.318207231447472,-1.06891560834511,0.602722341148634,0.752689044650977,0.294236699112375,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Fibrobacteraceae",-0.366577380283857,0.42152695869124,0.418445747669362,0.358522333079213,0.380322732906322,0.392506115996557,-1.0224673512957,1.10834016013202,1.06608720378011,0.31190706537649,0.27347642516481,0.291947918820865,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Flavobacteriaceae",0.0267233309030738,-0.080438156160405,0.0131889593830213,0.280830343246003,0.348055067960674,0.398182387352021,0.0951582745446581,-0.231107556145378,0.0331229100079743,0.92484361215917,0.818854056129473,0.97380350276495,0.968682111838657,0.988329030448414,0.985536075087419,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Gastranaerophilaceae",-0.0531687983882673,-0.256758954027463,0.539319497332128,0.515779734259725,0.574866472166835,0.579216521300069,-0.103084310717594,-0.446641031367972,0.931118981415809,0.918364464522957,0.65732491837503,0.356872999693179,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Lachnospiraceae",-0.0407480871785629,0.0349213795958381,0.0488276035644245,0.139588338147584,0.170257348611837,0.192045900086271,-0.29191612794674,0.205109382241433,0.254249653559331,0.771663255780316,0.838391607039249,0.800435820668084,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Lactobacillaceae",-0.408212164089583,0.341399871850156,0.827866941448987,0.360377353518879,0.433650743639912,0.489380845219339,-1.13273534006403,0.787269194985266,1.69166192248072,0.281412092258265,0.447755341643536,0.118810595467258,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Methanobacteriaceae",-0.0174017456445859,0.0653605260125209,-0.0721341803104891,0.209259920420271,0.245040113364653,0.254373194199253,-0.0831585217543654,0.266733985366941,-0.28357618630989,0.934086322130134,0.790866114209965,0.778007620262081,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Mitochondria",0.0531770381564051,-0.055751060945898,-0.0720405717772073,0.288204579946163,0.332271522357571,0.367261685540826,0.18451142645387,-0.167787659172013,-0.196155968927499,0.854521901301567,0.867575245203716,0.8454571202703,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ML635J-15",0.347872721107899,-0.536160751608779,-0.320568410063752,0.281633787808521,0.336628888207469,0.378064812561324,1.23519526479689,-1.59273541395632,-0.847919191135392,0.226037762845574,0.121366468894234,0.402982573208898,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Muribaculaceae",0.754994563998499,-0.661093852448428,-1.18767992480221,0.431633558921351,0.518806860069077,0.625110450114792,1.74915631186144,-1.27425811671111,-1.89995211979596,0.088130926880738,0.210112868951931,0.0648515091895639,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Mycoplasmoidaceae",-0.016591043261114,0.0575520627517019,-0.0619282035610401,0.391227262017334,0.432332161299694,0.449028667555602,-0.0424076869683456,0.13312001258173,-0.137915923939025,0.966357245124457,0.89467912356476,0.890908815251119,0.97800010349945,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Nanosyncoccaceae",-0.100683217108454,0.0630738707328518,0.186631140877071,0.268972702756583,0.298393763713054,0.312673400652731,-0.37432503773281,0.21137797904351,0.596888448097802,0.709882563845438,0.833526048143933,0.553508489267976,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Oscillospiraceae_88309",0.073765952751968,-0.0745433309359447,-0.123991489108678,0.185290949994421,0.213224588776369,0.234545481005942,0.398108773009091,-0.349600068940108,-0.528645824156966,0.692391742666435,0.728234373055271,0.599592740116425,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"P3",-0.446567751730617,0.602754246421079,0.368921917664077,0.4919878308282,0.510280951210854,0.536760457606003,-0.907680482622662,1.18122035516081,0.6873120261308,0.368777832864683,0.243586435491365,0.495337019113847,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Paludibacteraceae",0.107592713376994,-0.155463336449644,-0.0960909345630585,0.159084588029344,0.19190984670256,0.216130960400769,0.676323927476548,-0.810085251595224,-0.444595880131556,0.502221609161008,0.422062259029797,0.658696695846892,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"Ruminococcaceae",-0.0268275372081827,-0.0503649223960048,0.144786160016882,0.152905955425843,0.187298575476032,0.204843827522169,-0.175451225123757,-0.268901790993333,0.706812412989171,0.86149514923193,0.789207677820107,0.483248292962777,0.968682111838657,0.988329030448414,0.968634091766063,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
