"taxon","lfc_(Intercept)","lfc_RFIClass2MidRFI","lfc_RFIClass3HighRFI"
"Nanosyncoccaceae",-0.100683217108454,0.0630738707328518,0.186631140877071
"Oscillospiraceae_88309",0.073765952751968,-0.0745433309359447,-0.123991489108678
"P3",-0.446567751730617,0.602754246421079,0.368921917664077
"Paludibacteraceae",0.107592713376994,-0.155463336449644,-0.0960909345630585
"Ruminococcaceae",-0.0268275372081827,-0.0503649223960048,0.144786160016882
"Saccharofermentanaceae",0.0689006895924889,-0.0577814678153471,-0.136329648253744
"Selenomonadaceae_42771",-0.104893041877608,-0.0120316725717643,0.323583134403111
"Sphaerochaetaceae",-0.0424476855689988,0.102611814560001,-0.16002643339207
"Sphingobacteriaceae",-0.101021039604564,0.239196694530636,-0.0482537888449158
"Succinivibrionaceae",-0.224918767874846,-0.0811035031301263,0.801390747626485
"Thermoactinomycetaceae_367745",0.356501092202147,-0.597563117690628,-0.344293067742904
"Thermoguttaceae",-0.164598115114453,0.173788101614982,0.20245989083698
"Treponemataceae",-0.0719895391091889,0.000545306203254919,0.200365669364916
"UBA1067",0.156413050293543,-0.310802668409101,0.0251677261253336
"UBA1242",-0.149200418899416,0.148815778508219,0.209649443525252
"UBA1381",-0.0849063929373969,0.164053522879666,-0.0213298112683184
"UBA1829",-0.0343587694902631,-0.0162839218314987,0.0516528604656649
"UBA3636",0.248229478244028,-0.296674494929727,-0.438328190680164
"UBA3830",-0.109271387707374,0.0982310159046718,0.186956871065995
"UBA660",0.0375395365612167,-0.0548982066253527,-0.0859589141430707
"UBA929",-0.123595357943449,0.115864454940275,0.0636203711161596
"UBA932",-0.0965394701416501,0.189798303112035,-0.03198628682494
"Unidentified_Family1",-0.450451043011757,0.187387187148342,1.05578596853077
"Unidentified_Family14",0.145957794803501,0.0423975872214039,-0.550309860972947
"Unidentified_Family15",-0.424709323355827,0.494038348429456,0.478643815002667
"Unidentified_Family16",0.208981002771899,-0.42037678691065,0.0981003869171473
"Unidentified_Family17",-0.226824302892103,0.20834399849477,0.344316170559224
"Unidentified_Family18",-0.213153783251606,0.275126290085702,0.163084801353549
"Unidentified_Family19",-0.124805239618654,0.170884297614883,0.0928163209779043
"Unidentified_Family2",-0.367367993575877,0.444085449950592,0.376036789013296
"Unidentified_Family23",-0.669681805679308,0.956548934128894,0.205880149668175
"Unidentified_Family24",-0.0815874373516444,0.13128446547206,0.0054711322059021
"Unidentified_Family28",0.188777599574232,-0.412673916129359,-0.129791638168182
"Unidentified_Family3",0.138323062969505,-0.0490833101046776,-0.363070173000695
"Unidentified_Family4",0.0647754464415166,-0.0521412947231806,-0.140602170391803
"Unidentified_Family5",0.239629786814734,-0.241795669096422,-0.374949667748582
"Unidentified_Family6",0.116900176813091,0.0195801868264299,-0.4190148046295
"Unidentified_Family8",-0.182373476100169,0.326459953440816,0.0692492737981773
"WCHB1-69",-0.0684634151832943,0.0127112165305643,0.169797310559986
"Weeksellaceae",-0.10339432888299,0.0969695904436463,0.132232557060061
"Xenobiaceae",-0.446916913045534,0.613031389826829,0.342843127868944
